"","species","model","mu_Linf","mu_g","mu_t","mean_growth","adj_r2","delta_elpd","stack_wt"
"1","F. chrysotus","VB","98.0 (76.3, 182.1)","0.003 (0.001, 0.004)","-11.0 (-16.0, -6.2)","0.23 (0.21, 0.26)",0.978,"0 (0, 0)","0.65"
"2","F. chrysotus","GZ","48.8 (45.5, 52.5)","0.013 (0.012, 0.015)","61.3 (55.9, 67.8)","0.24 (0.21, 0.26)",0.977,"-3.2 (-13.5, 7.1)","0.35"
"3","F. chrysotus","LG","42.5 (40.3, 44.8)","0.023 (0.020, 0.026)","76.1 (70.8, 82.3)","0.24 (0.22, 0.27)",0.975,"-21.6 (-36.7, -6.5)","0"
"4","F. chrysotus","ST","61.4 (46.2, 156.9)","-","24.6 (-15, 66.6)","0.23 (0.21, 0.26)",0.978,"-","-"
"5","G. holbrooki","GZ","31.3 (30.2, 32.6)","0.020 (0.018, 0.022)","37.4 (33.9, 41.1)","0.22 (0.21, 0.24)",0.966,"0 (0, 0)","0.76"
"6","G. holbrooki","VB","38.9 (36.1, 42.7)","0.009 (0.008, 0.011)","-2.3 (-6.1, 1.2)","0.21 (0.2, 0.23)",0.965,"-5.3 (-14.3, 3.7)","0.24"
"7","G. holbrooki","LG","29.0 (28.2, 29.8)","0.032 (0.029, 0.035)","51.2 (47.7, 54.9)","0.23 (0.21, 0.25)",0.964,"-9.6 (-15.9, -3.3)","0"
"8","G. holbrooki","ST","34.1 (30.4, 41.9)","-","18.2 (-5.3, 40.4)","0.22 (0.21, 0.24)",0.966,"-","-"
"9","H. formosa","VB","22.4 (19.3, 26.8)","0.010 (0.007, 0.014)","-15.7 (-20.7, -10.1)","0.11 (0.09, 0.13)",0.968,"0 (0, 0)","1"
"10","H. formosa","GZ","18.6 (17.0, 20.6)","0.021 (0.016, 0.026)","21.1 (15.2, 28.9)","0.11 (0.1, 0.13)",0.968,"-6.1 (-11.1, -1)","0"
"11","H. formosa","LG","17.3 (16.1, 18.5)","0.030 (0.026, 0.037)","34.1 (26.9, 42.8)","0.11 (0.1, 0.13)",0.966,"-15.9 (-23.8, -7.9)","0"
"12","H. formosa","ST","22.4 (19.3, 26.8)","-","-15.7 (-20.7, -10)","0.11 (0.09, 0.13)",0.968,"-","-"
"13","J. floridae","LG","34.6 (30.9, 42.2)","0.016 (0.012, 0.020)","145.0 (126.1, 176.1)","0.14 (0.12, 0.16)",0.88,"0 (0, 0)","0.76"
"14","J. floridae","GZ","40.7 (33.7, 59.0)","0.009 (0.006, 0.013)","127.3 (104.0, 181.3)","0.13 (0.11, 0.15)",0.877,"-1.1 (-2.8, 0.7)","0"
"15","J. floridae","VB","1644.9 (90.5, 12970456.8)","0.000 (0.000, 0.002)","3.4 (-9.1, 18.2)","0.12 (0.11, 0.13)",0.864,"-2.7 (-9.2, 3.8)","0.24"
"16","J. floridae","ST","54 (31.4, 2851757.6)","-","70 (-6.8, 169.5)","0.13 (0.11, 0.16)",0.878,"-","-"
"17","L. goodei","GZ","29.3 (28.3, 30.5)","0.019 (0.017, 0.022)","35.6 (32.4, 38.8)","0.18 (0.16, 0.2)",0.958,"0 (0, 0)","0.11"
"18","L. goodei","VB","34.2 (32.1, 37.2)","0.010 (0.008, 0.011)","-2.9 (-7.8, 1.8)","0.17 (0.16, 0.19)",0.957,"-3 (-11, 4.9)","0.55"
"19","L. goodei","LG","27.4 (26.6, 28.2)","0.029 (0.026, 0.033)","50.7 (47.7, 53.8)","0.19 (0.17, 0.21)",0.957,"-6.4 (-12.5, -0.3)","0.34"
"20","L. goodei","ST","29.3 (26.9, 36.3)","-","35.6 (-6.2, 52.9)","0.18 (0.16, 0.21)",0.957,"-","-"
"21","P. latipinna","LG","38.0 (34.9, 41.6)","0.019 (0.014, 0.024)","76.0 (66.9, 88.4)","0.18 (0.14, 0.23)",0.946,"0 (0, 0)","1"
"22","P. latipinna","GZ","42.2 (38.3, 47.6)","0.012 (0.009, 0.016)","56.1 (47.1, 68.3)","0.18 (0.14, 0.23)",0.945,"-4.1 (-7.6, -0.7)","0"
"23","P. latipinna","VB","54.1 (41.2, 87.8)","0.005 (0.003, 0.008)","-7.2 (-18.0, 1.3)","0.19 (0.16, 0.24)",0.942,"-15.6 (-24.6, -6.6)","0"
"24","P. latipinna","ST","38 (35, 41.6)","-","76 (67, 88.4)","0.18 (0.14, 0.23)",0.946,"-","-"
