"","species","model","adj_r2","delta_elpd","stack_wt"
"1","F. chrysotus","VB",0.978,"0 (0, 0)","0.74"
"2","F. chrysotus","GZ",0.977,"-5.8 (-15.9, 4.4)","0.26"
"3","F. chrysotus","LG",0.975,"-24.3 (-39.2, -9.4)","0"
"4","F. chrysotus","ST",0.978,"-","-"
"5","G. holbrooki","GZ",0.965,"0 (0, 0)","0.63"
"6","G. holbrooki","VB",0.964,"-2.9 (-11.9, 6.1)","0.37"
"7","G. holbrooki","LG",0.964,"-11.1 (-17.4, -4.8)","0"
"8","G. holbrooki","ST",0.965,"-","-"
"9","H. formosa","VB",0.967,"0 (0, 0)","1"
"10","H. formosa","GZ",0.967,"-6.9 (-11.9, -1.9)","0"
"11","H. formosa","LG",0.965,"-16.9 (-24.9, -8.9)","0"
"12","H. formosa","ST",0.967,"-","-"
"13","L. goodei","GZ",0.958,"0 (0, 0)","0.35"
"14","L. goodei","VB",0.957,"-1.3 (-8.5, 5.9)","0.51"
"15","L. goodei","LG",0.957,"-7.3 (-13.1, -1.6)","0.14"
"16","L. goodei","ST",0.957,"-","-"
"17","P. latipinna","LG",0.947,"0 (0, 0)","1"
"18","P. latipinna","GZ",0.945,"-4.6 (-8.4, -0.8)","0"
"19","P. latipinna","VB",0.941,"-19.4 (-29.2, -9.7)","0"
"20","P. latipinna","ST",0.947,"-","-"
