"","species","hydroperiod","Linf","t","mean_growth"
"1","F. chrysotus","Short","53.4 (42.9, 84.3)","26.1 (-7.4, 63)","0.25 (0.22, 0.29)"
"2","F. chrysotus","Intermediate","73.4 (47.1, 12500191.3)","22.3 (-19.7, 76.2)","0.25 (0.21, 0.32)"
"3","F. chrysotus","Long","60 (45.5, 120.1)","21 (-20.3, 72.9)","0.21 (0.18, 0.23)"
"4","G. holbrooki","Short","33.8 (29.7, 43.8)","20.5 (-4, 44.9)","0.23 (0.21, 0.27)"
"5","G. holbrooki","Intermediate","33.5 (28.6, 46.1)","17 (-9.1, 42.5)","0.23 (0.2, 0.27)"
"6","G. holbrooki","Long","34.4 (30.5, 42.8)","16.9 (-7.4, 41.6)","0.21 (0.19, 0.23)"
"7","H. formosa","Short","23.3 (18.9, 30.8)","-16.4 (-25, -7.8)","0.1 (0.09, 0.13)"
"8","H. formosa","Intermediate","17.8 (13.6, 23.3)","-10.4 (-19.8, -0.7)","0.11 (0.05, 0.16)"
"9","H. formosa","Long","23.5 (19.5, 30)","-17.6 (-24.4, -11.2)","0.1 (0.09, 0.12)"
"10","L. goodei","Short","29.7 (26.8, 39.2)","36.2 (-5.2, 53.4)","0.2 (0.18, 0.25)"
"11","L. goodei","Intermediate","31.1 (26.8, 58.2)","41.3 (-13.3, 61.1)","0.19 (0.15, 0.24)"
"12","L. goodei","Long","28.6 (26.1, 33.9)","33.3 (-9.9, 53.2)","0.16 (0.14, 0.19)"
"13","P. latipinna","Short","39.6 (35.1, 43.8)","79.8 (65.5, 95.1)","0.19 (0.13, 0.28)"
"14","P. latipinna","Intermediate","33.8 (28.8, 44.2)","61.4 (48, 89.6)","0.2 (0.13, 0.32)"
"15","P. latipinna","Long","38.8 (34, 44.5)","82.4 (66.2, 105.7)","0.16 (0.11, 0.23)"
