"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",105.706,33.902,97.981,76.27,182.086,1826,1.002,"vb"
"tau[1]",0.073,0.06,0.061,0.003,0.233,5945,1.002,"vb"
"beta_Linf[1]",0.309,0.283,0.251,-0.08,1.016,2552,1,"vb"
"beta_Linf[2]",-0.15,0.252,-0.115,-0.744,0.257,2483,1.001,"vb"
"beta_Linf[3]",0.09,0.17,0.083,-0.224,0.444,3560,1.001,"vb"
"mu_g1",0.003,0.001,0.003,0.001,0.004,3867,1,"vb"
"tau[2]",0.129,0.085,0.114,0.009,0.352,3260,1.001,"vb"
"beta_g1[1]",-0.457,0.324,-0.402,-1.237,0.026,2786,1,"vb"
"beta_g1[2]",0.202,0.287,0.175,-0.289,0.853,2738,1.001,"vb"
"beta_g1[3]",-0.059,0.206,-0.057,-0.47,0.337,4122,1,"vb"
"mu_t0",-11.006,2.477,-10.968,-15.972,-6.213,8904,1,"vb"
"tau[3]",6.042,1.873,5.799,3.114,10.448,5028,1.001,"vb"
"beta_t0[1]",-6.195,2.745,-6.173,-11.603,-0.919,8409,1,"vb"
"beta_t0[2]",1.403,2.641,1.413,-3.824,6.56,9361,1,"vb"
"beta_t0[3]",0.832,2.546,0.791,-4.185,5.844,9636,1,"vb"
"cor_mat[1,2]",-0.213,0.434,-0.254,-0.897,0.669,6273,1,"vb"
"cor_mat[1,3]",0.108,0.409,0.132,-0.7,0.795,3672,1.001,"vb"
"cor_mat[2,3]",0.375,0.344,0.439,-0.454,0.859,5571,1,"vb"
"sigma_length",1.141,0.068,1.139,1.013,1.28,17815,1,"vb"
"mu_Linf",48.858,1.781,48.78,45.532,52.548,12477,1,"gz"
"tau[1]",0.066,0.033,0.062,0.01,0.141,5678,1,"gz"
"beta_Linf[1]",0.025,0.04,0.024,-0.053,0.104,11932,1,"gz"
"beta_Linf[2]",-0.029,0.042,-0.029,-0.113,0.054,11750,1.001,"gz"
"beta_Linf[3]",0.006,0.038,0.006,-0.067,0.083,12059,1.001,"gz"
"mu_g2",0.013,0.001,0.013,0.012,0.015,10700,1,"gz"
"tau[2]",0.18,0.065,0.169,0.087,0.339,5697,1,"gz"
"beta_g2[1]",-0.126,0.074,-0.126,-0.273,0.022,11582,1,"gz"
"beta_g2[2]",0.07,0.076,0.07,-0.078,0.223,10986,1.001,"gz"
"beta_g2[3]",0.053,0.073,0.054,-0.09,0.194,10256,1,"gz"
"mu_ti",61.437,3.016,61.287,55.915,67.768,12164,1,"gz"
"tau[3]",0.064,0.038,0.06,0.005,0.153,5075,1,"gz"
"beta_ti[1]",0.058,0.046,0.058,-0.033,0.149,11331,1,"gz"
"beta_ti[2]",-0.059,0.049,-0.059,-0.155,0.04,12272,1.001,"gz"
"beta_ti[3]",-0.009,0.043,-0.01,-0.094,0.078,12010,1,"gz"
"cor_mat[1,2]",-0.289,0.334,-0.329,-0.818,0.441,7880,1,"gz"
"cor_mat[1,3]",0.139,0.391,0.173,-0.659,0.79,11516,1,"gz"
"cor_mat[2,3]",-0.274,0.358,-0.316,-0.842,0.508,13260,1,"gz"
"sigma_length",1.148,0.068,1.145,1.02,1.287,19232,1,"gz"
"mu_Linf",42.508,1.132,42.481,40.346,44.802,9867,1.001,"lg"
"tau[1]",0.052,0.029,0.05,0.005,0.12,5753,1.001,"lg"
"beta_Linf[1]",0.003,0.029,0.003,-0.055,0.06,9727,1,"lg"
"beta_Linf[2]",-0.022,0.032,-0.022,-0.083,0.04,9665,1,"lg"
"beta_Linf[3]",0.011,0.028,0.011,-0.044,0.066,9363,1,"lg"
"mu_g3",0.023,0.001,0.023,0.02,0.026,8358,1,"lg"
"tau[2]",0.161,0.057,0.152,0.077,0.299,5559,1,"lg"
"beta_g3[1]",-0.099,0.061,-0.099,-0.22,0.022,8064,1,"lg"
"beta_g3[2]",0.062,0.064,0.062,-0.067,0.192,8075,1,"lg"
"beta_g3[3]",0.054,0.062,0.054,-0.069,0.175,7497,1.001,"lg"
"mu_ti",76.22,2.884,76.121,70.764,82.254,10417,1,"lg"
"tau[3]",0.064,0.032,0.06,0.011,0.136,4762,1.001,"lg"
"beta_ti[1]",0.044,0.036,0.045,-0.028,0.115,8976,1,"lg"
"beta_ti[2]",-0.053,0.04,-0.054,-0.131,0.027,9033,1,"lg"
"beta_ti[3]",-0.01,0.034,-0.01,-0.076,0.059,8975,1,"lg"
"cor_mat[1,2]",-0.13,0.348,-0.149,-0.742,0.581,6169,1,"lg"
"cor_mat[1,3]",0.074,0.379,0.091,-0.682,0.737,8692,1,"lg"
"cor_mat[2,3]",-0.383,0.33,-0.433,-0.88,0.362,9487,1,"lg"
"sigma_length",1.219,0.073,1.217,1.084,1.37,19621,1,"lg"
