"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",1134.888,6117.364,142.031,81.832,8069.517,1012,1.001,"vb"
"tau[1]",0.05,0.04,0.042,0.002,0.147,3371,1.001,"vb"
"beta_Linf[1]",-1.308,1.3,-0.72,-4.775,-0.144,469,1.002,"vb"
"beta_Linf[2]",2.369,2.59,1.18,0.141,9.294,466,1.002,"vb"
"beta_Linf[3]",-1.061,1.298,-0.485,-4.518,0.131,469,1.002,"vb"
"mu_g1",0.002,0.001,0.002,0,0.004,656,1.001,"vb"
"tau[2]",0.116,0.062,0.108,0.014,0.267,1133,1.003,"vb"
"beta_g1[1]",1.487,1.323,0.921,0.222,4.983,473,1.002,"vb"
"beta_g1[2]",-2.458,2.626,-1.29,-9.428,-0.095,468,1.002,"vb"
"beta_g1[3]",0.971,1.319,0.416,-0.325,4.452,474,1.002,"vb"
"mu_t0",-9.905,2.191,-9.919,-14.2,-5.498,2735,1.002,"vb"
"tau[3]",4.647,1.417,4.475,2.345,7.959,2926,1.001,"vb"
"beta_t0[1]",8.065,2.824,8.106,2.373,13.484,4176,1,"vb"
"beta_t0[2]",-3.039,3.201,-3.105,-9.127,3.432,2431,1.002,"vb"
"beta_t0[3]",-5.025,2.758,-4.993,-10.523,0.329,3657,1.002,"vb"
"cor_mat[1,2]",-0.185,0.425,-0.217,-0.872,0.67,1540,1.003,"vb"
"cor_mat[1,3]",0.002,0.408,0.014,-0.765,0.74,1435,1.003,"vb"
"cor_mat[2,3]",0.357,0.323,0.406,-0.409,0.84,1814,1.002,"vb"
"sigma_length",1.131,0.067,1.128,1.005,1.27,7547,1.001,"vb"
"mu_Linf",49.383,1.724,49.312,46.185,52.947,23781,1,"gz"
"tau[1]",0.049,0.029,0.046,0.003,0.115,13133,1,"gz"
"beta_Linf[1]",-0.072,0.043,-0.072,-0.158,0.013,27932,1,"gz"
"beta_Linf[2]",0.073,0.057,0.071,-0.036,0.19,20847,1,"gz"
"beta_Linf[3]",0,0.047,0,-0.092,0.093,23518,1,"gz"
"mu_g2",0.014,0.001,0.014,0.012,0.016,21521,1,"gz"
"tau[2]",0.151,0.053,0.144,0.071,0.277,13388,1,"gz"
"beta_g2[1]",0.143,0.088,0.143,-0.031,0.316,24861,1,"gz"
"beta_g2[2]",0.011,0.107,0.012,-0.204,0.219,18547,1,"gz"
"beta_g2[3]",-0.154,0.086,-0.154,-0.323,0.016,19850,1,"gz"
"mu_ti",61.213,3.099,61.052,55.553,67.8,23041,1,"gz"
"tau[3]",0.07,0.033,0.067,0.012,0.146,11850,1,"gz"
"beta_ti[1]",-0.068,0.054,-0.068,-0.172,0.042,27113,1,"gz"
"beta_ti[2]",0.032,0.07,0.03,-0.101,0.175,19831,1,"gz"
"beta_ti[3]",0.036,0.059,0.036,-0.08,0.153,22667,1,"gz"
"cor_mat[1,2]",-0.239,0.354,-0.28,-0.807,0.542,12358,1,"gz"
"cor_mat[1,3]",0.052,0.389,0.071,-0.713,0.736,16584,1,"gz"
"cor_mat[2,3]",-0.371,0.314,-0.413,-0.853,0.342,24979,1,"gz"
"sigma_length",1.148,0.069,1.145,1.019,1.291,52818,1,"gz"
"mu_Linf",42.801,1.119,42.786,40.647,45.063,29467,1,"lg"
"tau[1]",0.046,0.027,0.043,0.003,0.107,14540,1,"lg"
"beta_Linf[1]",-0.03,0.034,-0.03,-0.097,0.037,32128,1,"lg"
"beta_Linf[2]",0.03,0.042,0.028,-0.05,0.114,27090,1,"lg"
"beta_Linf[3]",0,0.036,0,-0.07,0.071,29909,1,"lg"
"mu_g3",0.024,0.001,0.024,0.021,0.027,24062,1,"lg"
"tau[2]",0.136,0.049,0.13,0.059,0.249,14390,1,"lg"
"beta_g3[1]",0.076,0.075,0.075,-0.073,0.224,26677,1,"lg"
"beta_g3[2]",0.088,0.089,0.089,-0.092,0.264,21718,1,"lg"
"beta_g3[3]",-0.164,0.071,-0.164,-0.305,-0.022,23944,1,"lg"
"mu_ti",75.33,2.911,75.23,69.898,81.388,27685,1,"lg"
"tau[3]",0.068,0.028,0.066,0.019,0.133,12759,1,"lg"
"beta_ti[1]",-0.034,0.044,-0.035,-0.12,0.056,30294,1,"lg"
"beta_ti[2]",-0.022,0.054,-0.023,-0.126,0.086,25225,1,"lg"
"beta_ti[3]",0.057,0.047,0.057,-0.037,0.148,28532,1,"lg"
"cor_mat[1,2]",-0.118,0.347,-0.142,-0.718,0.602,16226,1,"lg"
"cor_mat[1,3]",0.015,0.377,0.028,-0.721,0.685,18930,1,"lg"
"cor_mat[2,3]",-0.47,0.293,-0.521,-0.889,0.222,27056,1,"lg"
"sigma_length",1.22,0.073,1.217,1.083,1.37,56318,1,"lg"
