"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",39.008,1.667,38.883,36.113,42.729,10228,1,"vb"
"tau[1]",0.043,0.027,0.041,0.003,0.106,6375,1,"vb"
"beta_Linf[1]",0.007,0.042,0.007,-0.075,0.094,10559,1,"vb"
"beta_Linf[2]",-0.016,0.043,-0.017,-0.1,0.073,10100,1,"vb"
"beta_Linf[3]",-0.068,0.05,-0.069,-0.163,0.03,11402,1,"vb"
"mu_g1",0.009,0.001,0.009,0.008,0.011,10928,1,"vb"
"tau[2]",0.088,0.05,0.085,0.007,0.205,2856,1.001,"vb"
"beta_g1[1]",-0.04,0.08,-0.039,-0.198,0.114,10273,1,"vb"
"beta_g1[2]",0.044,0.081,0.045,-0.119,0.202,9973,1,"vb"
"beta_g1[3]",0.111,0.093,0.112,-0.075,0.289,10931,1,"vb"
"mu_t0",-2.367,1.83,-2.34,-6.053,1.17,10811,1,"vb"
"tau[3]",5.833,1.363,5.696,3.581,8.927,7325,1,"vb"
"beta_t0[1]",-1.328,1.899,-1.349,-5.018,2.444,10407,1,"vb"
"beta_t0[2]",1.108,1.962,1.093,-2.778,4.943,10869,1,"vb"
"beta_t0[3]",1.698,2.051,1.698,-2.366,5.696,10627,1,"vb"
"cor_mat[1,2]",-0.203,0.427,-0.239,-0.87,0.673,5719,1.001,"vb"
"cor_mat[1,3]",0.331,0.346,0.381,-0.471,0.857,2544,1.001,"vb"
"cor_mat[2,3]",0.215,0.369,0.27,-0.6,0.781,3301,1,"vb"
"sigma_length",0.98,0.044,0.98,0.896,1.072,23746,1,"vb"
"mu_Linf",31.337,0.61,31.311,30.185,32.604,12846,1,"gz"
"tau[1]",0.022,0.017,0.018,0.001,0.062,8618,1,"gz"
"beta_Linf[1]",0,0.019,0,-0.037,0.038,14790,1,"gz"
"beta_Linf[2]",-0.007,0.02,-0.007,-0.047,0.032,12674,1,"gz"
"beta_Linf[3]",-0.054,0.025,-0.055,-0.101,-0.004,12369,1,"gz"
"mu_g2",0.02,0.001,0.02,0.018,0.022,11417,1,"gz"
"tau[2]",0.129,0.041,0.125,0.062,0.222,4328,1,"gz"
"beta_g2[1]",-0.03,0.051,-0.03,-0.132,0.069,11856,1,"gz"
"beta_g2[2]",0.035,0.053,0.035,-0.07,0.137,10577,1,"gz"
"beta_g2[3]",0.085,0.059,0.086,-0.031,0.202,11463,1,"gz"
"mu_ti",37.444,1.813,37.418,33.937,41.095,10346,1,"gz"
"tau[3]",0.132,0.033,0.127,0.082,0.208,5938,1,"gz"
"beta_ti[1]",-0.006,0.04,-0.006,-0.084,0.073,9366,1.001,"gz"
"beta_ti[2]",0.001,0.041,0.001,-0.08,0.084,9708,1,"gz"
"beta_ti[3]",-0.046,0.045,-0.047,-0.134,0.042,9703,1,"gz"
"cor_mat[1,2]",-0.191,0.416,-0.238,-0.844,0.679,2729,1.001,"gz"
"cor_mat[1,3]",0.134,0.396,0.166,-0.668,0.793,2205,1.001,"gz"
"cor_mat[2,3]",0.177,0.278,0.189,-0.397,0.676,6437,1.001,"gz"
"sigma_length",0.968,0.044,0.966,0.886,1.058,22797,1,"gz"
"mu_Linf",28.967,0.419,28.962,28.174,29.816,16232,1,"lg"
"tau[1]",0.018,0.014,0.015,0.001,0.052,8609,1,"lg"
"beta_Linf[1]",0,0.014,0,-0.029,0.027,17470,1,"lg"
"beta_Linf[2]",-0.003,0.015,-0.003,-0.034,0.026,15518,1,"lg"
"beta_Linf[3]",-0.051,0.018,-0.051,-0.086,-0.015,16997,1,"lg"
"mu_g3",0.032,0.001,0.032,0.029,0.035,12641,1,"lg"
"tau[2]",0.142,0.04,0.136,0.079,0.236,5681,1,"lg"
"beta_g3[1]",-0.034,0.047,-0.034,-0.126,0.06,12483,1,"lg"
"beta_g3[2]",0.035,0.049,0.036,-0.061,0.133,12546,1,"lg"
"beta_g3[3]",0.077,0.052,0.077,-0.025,0.179,12950,1,"lg"
"mu_ti",51.259,1.8,51.232,47.719,54.867,12687,1,"lg"
"tau[3]",0.099,0.026,0.095,0.059,0.159,5861,1.001,"lg"
"beta_ti[1]",0,0.031,0,-0.06,0.061,12366,1,"lg"
"beta_ti[2]",-0.002,0.032,-0.002,-0.065,0.064,12569,1,"lg"
"beta_ti[3]",-0.05,0.035,-0.049,-0.119,0.02,13035,1,"lg"
"cor_mat[1,2]",-0.189,0.404,-0.223,-0.849,0.635,3407,1.001,"lg"
"cor_mat[1,3]",0.052,0.394,0.066,-0.713,0.748,3055,1,"lg"
"cor_mat[2,3]",0.092,0.276,0.094,-0.444,0.605,8972,1,"lg"
"sigma_length",0.989,0.046,0.988,0.901,1.081,25797,1,"lg"
