"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",38.766,1.772,38.612,35.764,42.702,8401,1,"vb"
"tau[1]",0.044,0.027,0.042,0.003,0.106,5161,1.001,"vb"
"beta_Linf[1]",-0.004,0.061,-0.005,-0.122,0.122,12686,1,"vb"
"beta_Linf[2]",-0.005,0.072,-0.01,-0.132,0.151,8293,1,"vb"
"beta_Linf[3]",0.009,0.053,0.01,-0.098,0.113,10284,1,"vb"
"mu_g1",0.009,0.001,0.009,0.008,0.011,8650,1,"vb"
"tau[2]",0.082,0.048,0.079,0.006,0.194,2746,1.002,"vb"
"beta_g1[1]",0.047,0.116,0.049,-0.183,0.272,12687,1,"vb"
"beta_g1[2]",0.022,0.135,0.027,-0.256,0.273,8328,1,"vb"
"beta_g1[3]",-0.07,0.099,-0.07,-0.264,0.128,9760,1,"vb"
"mu_t0",-1.576,1.958,-1.53,-5.609,2.228,8921,1,"vb"
"tau[3]",5.505,1.251,5.381,3.402,8.335,5922,1,"vb"
"beta_t0[1]",3.1,2.685,3.108,-2.215,8.381,11725,1,"vb"
"beta_t0[2]",-1.009,2.997,-0.977,-7.035,4.74,9288,1,"vb"
"beta_t0[3]",-2.092,2.291,-2.103,-6.632,2.425,10014,1,"vb"
"cor_mat[1,2]",-0.184,0.426,-0.222,-0.863,0.676,5758,1,"vb"
"cor_mat[1,3]",0.313,0.344,0.362,-0.466,0.846,2152,1.001,"vb"
"cor_mat[2,3]",0.224,0.369,0.284,-0.586,0.781,2859,1,"vb"
"sigma_length",0.981,0.045,0.979,0.896,1.073,26692,1,"vb"
"mu_Linf",31.318,0.697,31.289,30.032,32.748,9735,1,"gz"
"tau[1]",0.026,0.019,0.023,0.001,0.071,6357,1,"gz"
"beta_Linf[1]",-0.001,0.03,-0.001,-0.061,0.058,13759,1,"gz"
"beta_Linf[2]",-0.012,0.037,-0.014,-0.082,0.065,9441,1,"gz"
"beta_Linf[3]",0.013,0.027,0.014,-0.039,0.066,10186,1,"gz"
"mu_g2",0.021,0.001,0.021,0.019,0.023,9078,1,"gz"
"tau[2]",0.125,0.04,0.121,0.056,0.216,3918,1.002,"gz"
"beta_g2[1]",0.05,0.077,0.048,-0.102,0.205,11956,1,"gz"
"beta_g2[2]",0.035,0.091,0.037,-0.148,0.211,9250,1,"gz"
"beta_g2[3]",-0.085,0.066,-0.085,-0.215,0.045,9192,1,"gz"
"mu_ti",37.328,1.962,37.273,33.614,41.354,8380,1,"gz"
"tau[3]",0.121,0.03,0.117,0.073,0.193,5475,1.001,"gz"
"beta_ti[1]",0.035,0.058,0.035,-0.076,0.15,9558,1,"gz"
"beta_ti[2]",-0.047,0.066,-0.048,-0.174,0.086,8297,1,"gz"
"beta_ti[3]",0.011,0.049,0.012,-0.086,0.106,7934,1,"gz"
"cor_mat[1,2]",-0.17,0.406,-0.214,-0.829,0.674,2992,1.002,"gz"
"cor_mat[1,3]",0.106,0.383,0.131,-0.666,0.767,2221,1.001,"gz"
"cor_mat[2,3]",0.182,0.279,0.196,-0.384,0.691,5870,1.001,"gz"
"sigma_length",0.971,0.045,0.97,0.887,1.062,23749,1,"gz"
"mu_Linf",28.876,0.517,28.863,27.895,29.925,10115,1,"lg"
"tau[1]",0.029,0.018,0.027,0.002,0.068,4542,1.001,"lg"
"beta_Linf[1]",0.006,0.024,0.006,-0.041,0.055,14804,1,"lg"
"beta_Linf[2]",-0.019,0.03,-0.02,-0.076,0.041,9663,1,"lg"
"beta_Linf[3]",0.013,0.022,0.013,-0.031,0.054,10055,1,"lg"
"mu_g3",0.033,0.002,0.033,0.029,0.036,8580,1,"lg"
"tau[2]",0.144,0.041,0.139,0.081,0.237,5307,1,"lg"
"beta_g3[1]",0.042,0.073,0.042,-0.104,0.188,12028,1,"lg"
"beta_g3[2]",0.046,0.086,0.047,-0.125,0.216,9470,1,"lg"
"beta_g3[3]",-0.088,0.063,-0.088,-0.213,0.036,8004,1.001,"lg"
"mu_ti",50.693,1.926,50.657,46.998,54.583,9059,1,"lg"
"tau[3]",0.088,0.025,0.085,0.045,0.145,4546,1.001,"lg"
"beta_ti[1]",0.026,0.045,0.026,-0.063,0.115,11038,1,"lg"
"beta_ti[2]",-0.052,0.052,-0.052,-0.152,0.054,9333,1,"lg"
"beta_ti[3]",0.026,0.038,0.026,-0.05,0.102,8418,1,"lg"
"cor_mat[1,2]",-0.238,0.371,-0.291,-0.814,0.587,2962,1,"lg"
"cor_mat[1,3]",0.017,0.375,0.024,-0.714,0.696,2855,1.001,"lg"
"cor_mat[2,3]",0.076,0.285,0.076,-0.472,0.626,6848,1,"lg"
"sigma_length",0.993,0.046,0.992,0.906,1.087,22180,1,"lg"
