"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",22.548,1.9,22.369,19.308,26.785,7137,1,"vb"
"tau[1]",0.205,0.084,0.196,0.064,0.4,3023,1.002,"vb"
"beta_Linf[1]",-0.016,0.086,-0.017,-0.187,0.156,6694,1,"vb"
"beta_Linf[2]",0.044,0.092,0.042,-0.134,0.234,6562,1.001,"vb"
"beta_Linf[3]",-0.07,0.085,-0.072,-0.235,0.107,6741,1,"vb"
"mu_g1",0.01,0.002,0.01,0.007,0.014,6016,1.001,"vb"
"tau[2]",0.449,0.158,0.436,0.176,0.803,2625,1.002,"vb"
"beta_g1[1]",0.031,0.174,0.032,-0.319,0.373,6522,1,"vb"
"beta_g1[2]",-0.044,0.183,-0.042,-0.413,0.311,7090,1,"vb"
"beta_g1[3]",0.193,0.186,0.197,-0.19,0.55,6582,1,"vb"
"mu_t0",-15.603,2.733,-15.683,-20.741,-10.058,5164,1.001,"vb"
"tau[3]",5.761,2.72,5.734,0.641,11.354,2498,1.002,"vb"
"beta_t0[1]",0.356,2.617,0.409,-5.046,5.334,7239,1,"vb"
"beta_t0[2]",0.686,2.687,0.713,-4.698,5.866,8194,1,"vb"
"beta_t0[3]",1.422,2.982,1.529,-4.943,7.004,7272,1,"vb"
"cor_mat[1,2]",-0.865,0.163,-0.919,-0.99,-0.406,2838,1,"vb"
"cor_mat[1,3]",-0.289,0.337,-0.343,-0.793,0.508,4301,1.001,"vb"
"cor_mat[2,3]",0.392,0.328,0.459,-0.432,0.843,3591,1.001,"vb"
"sigma_length",0.431,0.026,0.43,0.383,0.486,7194,1,"vb"
"mu_Linf",18.661,0.89,18.619,17.043,20.584,8246,1,"gz"
"tau[1]",0.126,0.047,0.122,0.043,0.232,3664,1.001,"gz"
"beta_Linf[1]",-0.01,0.049,-0.011,-0.103,0.091,8297,1,"gz"
"beta_Linf[2]",0.028,0.053,0.028,-0.078,0.135,8540,1.001,"gz"
"beta_Linf[3]",-0.047,0.05,-0.047,-0.145,0.052,7675,1,"gz"
"mu_g2",0.021,0.002,0.021,0.016,0.026,8193,1,"gz"
"tau[2]",0.332,0.116,0.319,0.137,0.598,3487,1.001,"gz"
"beta_g2[1]",0.018,0.12,0.018,-0.225,0.252,8505,1,"gz"
"beta_g2[2]",-0.013,0.122,-0.012,-0.261,0.229,8472,1.001,"gz"
"beta_g2[3]",0.147,0.128,0.147,-0.103,0.406,8171,1,"gz"
"mu_ti",21.314,3.49,21.059,15.228,28.924,8449,1,"gz"
"tau[3]",0.336,0.104,0.318,0.19,0.593,5262,1,"gz"
"beta_ti[1]",-0.011,0.114,-0.011,-0.237,0.219,8594,1,"gz"
"beta_ti[2]",0.046,0.12,0.046,-0.196,0.283,8558,1.001,"gz"
"beta_ti[3]",-0.116,0.115,-0.115,-0.346,0.11,8007,1,"gz"
"cor_mat[1,2]",-0.777,0.209,-0.842,-0.981,-0.205,4761,1.002,"gz"
"cor_mat[1,3]",0.565,0.25,0.615,-0.038,0.909,6516,1,"gz"
"cor_mat[2,3]",-0.523,0.255,-0.567,-0.89,0.071,9601,1,"gz"
"sigma_length",0.438,0.026,0.437,0.391,0.492,15281,1,"gz"
"mu_Linf",17.28,0.614,17.26,16.128,18.531,8705,1,"lg"
"tau[1]",0.093,0.036,0.09,0.029,0.174,2966,1.001,"lg"
"beta_Linf[1]",-0.012,0.037,-0.013,-0.084,0.065,8238,1,"lg"
"beta_Linf[2]",0.02,0.039,0.02,-0.057,0.099,9452,1,"lg"
"beta_Linf[3]",-0.039,0.037,-0.04,-0.11,0.035,8244,1,"lg"
"mu_g3",0.031,0.003,0.03,0.026,0.037,7551,1.001,"lg"
"tau[2]",0.251,0.091,0.241,0.097,0.456,3368,1.001,"lg"
"beta_g3[1]",0.021,0.093,0.023,-0.169,0.202,9107,1,"lg"
"beta_g3[2]",0.004,0.092,0.005,-0.186,0.188,9525,1,"lg"
"beta_g3[3]",0.126,0.097,0.124,-0.066,0.322,9052,1,"lg"
"mu_ti",34.29,3.997,34.052,26.873,42.835,8271,1,"lg"
"tau[3]",0.273,0.081,0.259,0.158,0.469,4798,1,"lg"
"beta_ti[1]",-0.013,0.094,-0.015,-0.193,0.177,8479,1,"lg"
"beta_ti[2]",0.03,0.095,0.03,-0.162,0.217,9358,1,"lg"
"beta_ti[3]",-0.118,0.093,-0.119,-0.301,0.065,8679,1,"lg"
"cor_mat[1,2]",-0.68,0.251,-0.749,-0.964,-0.019,4075,1,"lg"
"cor_mat[1,3]",0.571,0.261,0.624,-0.067,0.917,5868,1,"lg"
"cor_mat[2,3]",-0.59,0.244,-0.639,-0.917,0.008,10323,1,"lg"
"sigma_length",0.454,0.027,0.453,0.404,0.51,13735,1,"lg"
