"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",21.51,1.61,21.385,18.642,25.06,6456,1,"vb"
"tau[1]",0.156,0.076,0.152,0.019,0.321,2044,1.002,"vb"
"beta_Linf[1]",0.091,0.1,0.09,-0.104,0.295,8529,1,"vb"
"beta_Linf[2]",-0.188,0.104,-0.187,-0.401,0.017,6402,1,"vb"
"beta_Linf[3]",0.097,0.094,0.093,-0.078,0.293,6861,1,"vb"
"mu_g1",0.012,0.002,0.011,0.008,0.016,4650,1,"vb"
"tau[2]",0.329,0.144,0.325,0.06,0.629,1782,1.002,"vb"
"beta_g1[1]",-0.239,0.202,-0.238,-0.642,0.158,8536,1,"vb"
"beta_g1[2]",0.498,0.222,0.5,0.061,0.945,6408,1,"vb"
"beta_g1[3]",-0.259,0.189,-0.254,-0.649,0.102,6543,1,"vb"
"mu_t0",-14.788,2.699,-14.81,-20.157,-9.351,4640,1.001,"vb"
"tau[3]",5.1,2.167,5,1.027,9.777,3259,1.002,"vb"
"beta_t0[1]",-1.618,3.34,-1.592,-8.176,5.022,11119,1,"vb"
"beta_t0[2]",4.43,3.505,4.474,-2.655,11.29,9823,1,"vb"
"beta_t0[3]",-2.813,3.02,-2.773,-8.83,2.973,8355,1,"vb"
"cor_mat[1,2]",-0.79,0.252,-0.878,-0.981,0.011,1668,1.002,"vb"
"cor_mat[1,3]",-0.168,0.355,-0.207,-0.744,0.603,4100,1.001,"vb"
"cor_mat[2,3]",0.282,0.358,0.344,-0.55,0.808,2921,1.002,"vb"
"sigma_length",0.434,0.027,0.432,0.385,0.49,5423,1.001,"vb"
"mu_Linf",18.198,0.816,18.161,16.681,19.906,8343,1,"gz"
"tau[1]",0.104,0.044,0.102,0.02,0.198,2637,1.001,"gz"
"beta_Linf[1]",0.061,0.061,0.06,-0.062,0.182,10002,1,"gz"
"beta_Linf[2]",-0.103,0.069,-0.103,-0.243,0.034,7469,1,"gz"
"beta_Linf[3]",0.042,0.057,0.042,-0.069,0.159,7441,1,"gz"
"mu_g2",0.022,0.003,0.022,0.018,0.028,7361,1,"gz"
"tau[2]",0.262,0.106,0.257,0.068,0.493,2533,1.001,"gz"
"beta_g2[1]",-0.178,0.148,-0.175,-0.482,0.112,9424,1,"gz"
"beta_g2[2]",0.317,0.176,0.317,-0.031,0.678,8038,1.001,"gz"
"beta_g2[3]",-0.14,0.135,-0.14,-0.405,0.138,7688,1,"gz"
"mu_ti",18.979,3.006,18.783,13.511,25.601,8743,1,"gz"
"tau[3]",0.285,0.087,0.271,0.16,0.497,4794,1.001,"gz"
"beta_ti[1]",0.152,0.14,0.153,-0.129,0.429,9415,1,"gz"
"beta_ti[2]",-0.28,0.165,-0.281,-0.605,0.051,8398,1,"gz"
"beta_ti[3]",0.128,0.13,0.127,-0.131,0.392,8913,1,"gz"
"cor_mat[1,2]",-0.688,0.268,-0.769,-0.962,0.065,3053,1.001,"gz"
"cor_mat[1,3]",0.52,0.284,0.579,-0.184,0.902,3779,1.001,"gz"
"cor_mat[2,3]",-0.477,0.278,-0.523,-0.878,0.175,7084,1,"gz"
"sigma_length",0.441,0.026,0.439,0.392,0.495,9013,1,"gz"
"mu_Linf",16.943,0.588,16.922,15.84,18.164,8444,1,"lg"
"tau[1]",0.081,0.033,0.079,0.019,0.153,2919,1.001,"lg"
"beta_Linf[1]",0.049,0.047,0.048,-0.042,0.143,9341,1,"lg"
"beta_Linf[2]",-0.076,0.054,-0.076,-0.183,0.032,7155,1,"lg"
"beta_Linf[3]",0.027,0.044,0.027,-0.059,0.117,7811,1,"lg"
"mu_g3",0.032,0.003,0.032,0.027,0.039,7799,1,"lg"
"tau[2]",0.206,0.083,0.201,0.055,0.391,2412,1.001,"lg"
"beta_g3[1]",-0.148,0.116,-0.147,-0.386,0.077,9069,1,"lg"
"beta_g3[2]",0.253,0.142,0.251,-0.027,0.541,7936,1,"lg"
"beta_g3[3]",-0.105,0.106,-0.104,-0.319,0.106,7868,1,"lg"
"mu_ti",31.358,3.413,31.213,25.044,38.533,8064,1,"lg"
"tau[3]",0.231,0.067,0.222,0.128,0.389,3523,1.001,"lg"
"beta_ti[1]",0.145,0.113,0.144,-0.077,0.37,7879,1,"lg"
"beta_ti[2]",-0.257,0.132,-0.258,-0.519,0.006,7219,1,"lg"
"beta_ti[3]",0.113,0.103,0.111,-0.085,0.324,7744,1,"lg"
"cor_mat[1,2]",-0.581,0.298,-0.657,-0.934,0.221,3356,1.001,"lg"
"cor_mat[1,3]",0.545,0.281,0.606,-0.169,0.907,3624,1.001,"lg"
"cor_mat[2,3]",-0.56,0.262,-0.614,-0.912,0.082,5735,1,"lg"
"sigma_length",0.455,0.027,0.453,0.406,0.51,10426,1,"lg"
