"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",20508761.556,530856449.362,1644.866,90.487,12970456.814,2826,1.003,"vb"
"tau[1]",0.071,0.073,0.055,0.003,0.247,1169,1.001,"vb"
"mu_g1",0,0,0,0,0.002,1010,1.006,"vb"
"tau[2]",0.075,0.079,0.056,0.003,0.27,752,1.004,"vb"
"mu_t0",3.632,6.814,3.363,-9.133,18.2,1089,1.006,"vb"
"tau[3]",3.129,2.948,2.319,0.086,10.929,959,1.004,"vb"
"cor_mat[1,2]",-0.133,0.426,-0.159,-0.857,0.712,1053,1.005,"vb"
"cor_mat[1,3]",-0.003,0.402,0.003,-0.751,0.732,1245,1.004,"vb"
"cor_mat[2,3]",-0.001,0.398,0.003,-0.734,0.735,1856,1.001,"vb"
"sigma_length",1.534,0.135,1.53,1.286,1.817,1535,1.001,"vb"
"mu_Linf",42.183,6.974,40.719,33.722,58.988,2558,1.001,"gz"
"tau[1]",0.053,0.051,0.041,0.002,0.177,5925,1,"gz"
"mu_g2",0.009,0.002,0.009,0.006,0.013,4695,1,"gz"
"tau[2]",0.095,0.092,0.071,0.003,0.334,6360,1,"gz"
"mu_ti",131.007,20.843,127.3,104.039,181.344,2164,1.001,"gz"
"tau[3]",0.105,0.078,0.09,0.011,0.277,1358,1.003,"gz"
"cor_mat[1,2]",-0.139,0.42,-0.162,-0.846,0.691,11373,1,"gz"
"cor_mat[1,3]",0.093,0.411,0.106,-0.708,0.81,8168,1,"gz"
"cor_mat[2,3]",0.089,0.411,0.106,-0.708,0.805,8151,1,"gz"
"sigma_length",1.495,0.132,1.488,1.255,1.774,15867,1,"gz"
"mu_Linf",35.099,2.899,34.625,30.861,42.174,5711,1,"lg"
"tau[1]",0.05,0.045,0.039,0.002,0.165,6055,1,"lg"
"mu_g3",0.016,0.002,0.016,0.012,0.02,7533,1,"lg"
"tau[2]",0.099,0.092,0.076,0.003,0.338,6599,1,"lg"
"mu_ti",146.57,12.637,145.015,126.092,176.067,5892,1,"lg"
"tau[3]",0.085,0.055,0.075,0.008,0.22,4992,1.001,"lg"
"cor_mat[1,2]",-0.151,0.421,-0.174,-0.86,0.689,12130,1,"lg"
"cor_mat[1,3]",0.088,0.412,0.107,-0.719,0.806,9078,1,"lg"
"cor_mat[2,3]",0.086,0.409,0.103,-0.716,0.803,9634,1,"lg"
"sigma_length",1.474,0.13,1.468,1.234,1.751,17975,1,"lg"
