"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",34.346,1.296,34.238,32.119,37.229,13949,1,"vb"
"tau[1]",0.077,0.036,0.076,0.01,0.154,5790,1,"vb"
"beta_Linf[1]",-0.021,0.039,-0.019,-0.1,0.054,14350,1,"vb"
"beta_Linf[2]",-0.017,0.042,-0.017,-0.1,0.068,13688,1,"vb"
"beta_Linf[3]",-0.049,0.04,-0.048,-0.13,0.029,14196,1,"vb"
"mu_g1",0.01,0.001,0.01,0.008,0.011,13736,1,"vb"
"tau[2]",0.161,0.067,0.162,0.024,0.296,3096,1.001,"vb"
"beta_g1[1]",-0.039,0.081,-0.039,-0.198,0.118,13894,1,"vb"
"beta_g1[2]",0.082,0.089,0.083,-0.095,0.254,13281,1,"vb"
"beta_g1[3]",0.079,0.081,0.079,-0.083,0.239,12900,1,"vb"
"mu_t0",-2.927,2.426,-2.907,-7.774,1.825,15310,1,"vb"
"tau[3]",9.673,1.913,9.488,6.43,13.948,5067,1.001,"vb"
"beta_t0[1]",-1.311,2.563,-1.295,-6.369,3.703,14644,1,"vb"
"beta_t0[2]",3.894,2.741,3.929,-1.552,9.232,14054,1,"vb"
"beta_t0[3]",1.451,2.626,1.465,-3.827,6.618,13783,1,"vb"
"cor_mat[1,2]",-0.099,0.391,-0.131,-0.746,0.702,6757,1,"vb"
"cor_mat[1,3]",0.45,0.31,0.502,-0.267,0.894,2803,1.002,"vb"
"cor_mat[2,3]",0.554,0.29,0.62,-0.21,0.91,4690,1.001,"vb"
"sigma_length",0.864,0.036,0.863,0.796,0.936,18090,1,"vb"
"mu_Linf",29.326,0.55,29.309,28.299,30.479,17463,1,"gz"
"tau[1]",0.034,0.023,0.03,0.001,0.088,5637,1.001,"gz"
"beta_Linf[1]",0.005,0.021,0.006,-0.037,0.046,14380,1,"gz"
"beta_Linf[2]",-0.003,0.021,-0.003,-0.044,0.037,19104,1,"gz"
"beta_Linf[3]",-0.032,0.021,-0.031,-0.072,0.009,15331,1,"gz"
"mu_g2",0.019,0.001,0.019,0.017,0.022,13251,1,"gz"
"tau[2]",0.245,0.053,0.24,0.154,0.364,6154,1,"gz"
"beta_g2[1]",-0.094,0.071,-0.094,-0.235,0.045,12918,1,"gz"
"beta_g2[2]",0.063,0.071,0.063,-0.079,0.203,14592,1,"gz"
"beta_g2[3]",0.037,0.073,0.037,-0.106,0.182,13494,1,"gz"
"mu_ti",35.622,1.629,35.621,32.408,38.84,13183,1,"gz"
"tau[3]",0.143,0.031,0.139,0.092,0.214,4571,1.001,"gz"
"beta_ti[1]",0.024,0.038,0.024,-0.054,0.097,12831,1,"gz"
"beta_ti[2]",0.025,0.04,0.026,-0.056,0.103,13922,1,"gz"
"beta_ti[3]",-0.024,0.04,-0.023,-0.104,0.055,12739,1,"gz"
"cor_mat[1,2]",-0.017,0.368,-0.027,-0.69,0.702,2491,1.003,"gz"
"cor_mat[1,3]",0.302,0.368,0.361,-0.525,0.856,2145,1.002,"gz"
"cor_mat[2,3]",0.417,0.222,0.44,-0.073,0.779,7222,1,"gz"
"sigma_length",0.861,0.035,0.86,0.795,0.932,22463,1,"gz"
"mu_Linf",27.403,0.395,27.395,26.648,28.204,11546,1,"lg"
"tau[1]",0.032,0.02,0.03,0.002,0.076,3357,1.003,"lg"
"beta_Linf[1]",0.005,0.017,0.006,-0.029,0.037,10399,1,"lg"
"beta_Linf[2]",-0.003,0.016,-0.002,-0.035,0.029,13714,1,"lg"
"beta_Linf[3]",-0.029,0.016,-0.029,-0.061,0.005,10890,1.001,"lg"
"mu_g3",0.029,0.002,0.029,0.026,0.033,8265,1,"lg"
"tau[2]",0.255,0.057,0.249,0.16,0.384,6376,1,"lg"
"beta_g3[1]",-0.094,0.069,-0.094,-0.232,0.038,8807,1,"lg"
"beta_g3[2]",0.067,0.07,0.067,-0.073,0.204,9403,1,"lg"
"beta_g3[3]",0.023,0.071,0.023,-0.118,0.159,9279,1.001,"lg"
"mu_ti",50.733,1.526,50.736,47.718,53.758,9663,1.001,"lg"
"tau[3]",0.088,0.023,0.086,0.051,0.142,3686,1.001,"lg"
"beta_ti[1]",0.043,0.028,0.043,-0.013,0.096,9704,1,"lg"
"beta_ti[2]",0.005,0.028,0.006,-0.052,0.06,10500,1,"lg"
"beta_ti[3]",-0.024,0.029,-0.024,-0.082,0.033,10030,1.001,"lg"
"cor_mat[1,2]",0.148,0.346,0.16,-0.546,0.773,1979,1.002,"lg"
"cor_mat[1,3]",0.292,0.359,0.352,-0.551,0.824,2252,1.001,"lg"
"cor_mat[2,3]",0.067,0.246,0.066,-0.406,0.545,6119,1,"lg"
"sigma_length",0.872,0.035,0.871,0.805,0.943,21097,1,"lg"
