"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",37.248,2.626,36.861,33.645,42.944,3524,1.001,"vb"
"tau[1]",0.056,0.033,0.054,0.003,0.126,3264,1,"vb"
"beta_Linf[1]",-0.047,0.074,-0.043,-0.201,0.084,6460,1.001,"vb"
"beta_Linf[2]",0.198,0.12,0.181,0.021,0.478,4213,1.001,"vb"
"beta_Linf[3]",-0.15,0.068,-0.143,-0.3,-0.04,4509,1.001,"vb"
"mu_g1",0.009,0.001,0.009,0.007,0.011,5464,1,"vb"
"tau[2]",0.157,0.06,0.16,0.027,0.269,2051,1.002,"vb"
"beta_g1[1]",0.177,0.13,0.174,-0.073,0.438,9130,1,"vb"
"beta_g1[2]",-0.322,0.19,-0.305,-0.74,-0.002,4963,1.001,"vb"
"beta_g1[3]",0.145,0.118,0.139,-0.069,0.39,5405,1,"vb"
"mu_t0",-3.515,2.636,-3.532,-8.724,1.668,9668,1,"vb"
"tau[3]",9.617,1.863,9.484,6.409,13.704,3588,1,"vb"
"beta_t0[1]",3.911,3.359,3.931,-2.838,10.418,15436,1,"vb"
"beta_t0[2]",-2.071,4.04,-2.068,-10.133,5.817,9919,1,"vb"
"beta_t0[3]",-1.84,3.108,-1.853,-7.928,4.317,10551,1,"vb"
"cor_mat[1,2]",-0.014,0.39,-0.031,-0.695,0.739,4228,1.001,"vb"
"cor_mat[1,3]",0.307,0.36,0.355,-0.508,0.849,1305,1.005,"vb"
"cor_mat[2,3]",0.664,0.254,0.739,-0.053,0.931,2316,1.001,"vb"
"sigma_length",0.862,0.035,0.862,0.794,0.934,23019,1,"vb"
"mu_Linf",29.824,0.689,29.786,28.564,31.273,12031,1.001,"gz"
"tau[1]",0.037,0.024,0.035,0.002,0.091,4040,1.001,"gz"
"beta_Linf[1]",-0.002,0.03,-0.002,-0.061,0.057,16347,1,"gz"
"beta_Linf[2]",0.045,0.04,0.043,-0.027,0.127,11690,1,"gz"
"beta_Linf[3]",-0.042,0.027,-0.042,-0.098,0.01,11183,1,"gz"
"mu_g2",0.019,0.001,0.019,0.017,0.022,10386,1.001,"gz"
"tau[2]",0.229,0.053,0.224,0.138,0.346,4754,1.002,"gz"
"beta_g2[1]",0.124,0.092,0.126,-0.062,0.304,13052,1,"gz"
"beta_g2[2]",-0.054,0.113,-0.056,-0.275,0.17,10985,1,"gz"
"beta_g2[3]",-0.07,0.085,-0.069,-0.24,0.095,9926,1,"gz"
"mu_ti",36.88,1.842,36.834,33.322,40.589,10890,1,"gz"
"tau[3]",0.142,0.03,0.139,0.093,0.209,5006,1,"gz"
"beta_ti[1]",-0.014,0.053,-0.013,-0.117,0.09,12631,1,"gz"
"beta_ti[2]",0.093,0.065,0.092,-0.032,0.229,10858,1,"gz"
"beta_ti[3]",-0.079,0.048,-0.078,-0.176,0.013,10735,1,"gz"
"cor_mat[1,2]",-0.034,0.375,-0.052,-0.712,0.71,2027,1.002,"gz"
"cor_mat[1,3]",0.24,0.357,0.286,-0.58,0.794,2220,1.002,"gz"
"cor_mat[2,3]",0.354,0.233,0.374,-0.142,0.75,6150,1,"gz"
"sigma_length",0.86,0.035,0.859,0.795,0.931,19279,1,"gz"
"mu_Linf",27.642,0.502,27.617,26.723,28.704,11208,1,"lg"
"tau[1]",0.042,0.021,0.041,0.004,0.084,3061,1.001,"lg"
"beta_Linf[1]",0.005,0.024,0.005,-0.042,0.053,14253,1,"lg"
"beta_Linf[2]",0.022,0.03,0.021,-0.035,0.086,11960,1,"lg"
"beta_Linf[3]",-0.028,0.022,-0.027,-0.073,0.014,12002,1,"lg"
"mu_g3",0.029,0.002,0.029,0.026,0.033,11012,1,"lg"
"tau[2]",0.231,0.053,0.226,0.142,0.352,6149,1.001,"lg"
"beta_g3[1]",0.122,0.087,0.122,-0.045,0.294,11466,1,"lg"
"beta_g3[2]",-0.012,0.102,-0.013,-0.213,0.193,11100,1,"lg"
"beta_g3[3]",-0.11,0.079,-0.109,-0.272,0.045,10443,1,"lg"
"mu_ti",51.398,1.761,51.356,48.033,54.971,10880,1,"lg"
"tau[3]",0.095,0.023,0.093,0.057,0.146,3855,1.001,"lg"
"beta_ti[1]",-0.032,0.038,-0.032,-0.107,0.044,11974,1,"lg"
"beta_ti[2]",0.056,0.047,0.055,-0.031,0.154,10739,1,"lg"
"beta_ti[3]",-0.024,0.036,-0.023,-0.099,0.044,10196,1,"lg"
"cor_mat[1,2]",0.108,0.33,0.113,-0.537,0.722,3551,1.001,"lg"
"cor_mat[1,3]",0.291,0.329,0.346,-0.474,0.78,2627,1,"lg"
"cor_mat[2,3]",0.023,0.26,0.019,-0.46,0.547,4786,1.001,"lg"
"sigma_length",0.871,0.036,0.87,0.803,0.943,14636,1,"lg"
