"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",56.664,13.001,54.062,41.171,87.804,3559,1,"vb"
"tau[1]",0.206,0.11,0.185,0.038,0.478,4372,1.001,"vb"
"beta_Linf[1]",0.041,0.17,0.043,-0.3,0.382,7210,1,"vb"
"beta_Linf[2]",-0.109,0.241,-0.105,-0.602,0.358,6022,1,"vb"
"beta_Linf[3]",-0.34,0.278,-0.313,-0.962,0.127,5278,1,"vb"
"mu_g1",0.006,0.001,0.005,0.003,0.008,4485,1.001,"vb"
"tau[2]",0.207,0.154,0.178,0.01,0.59,4073,1.001,"vb"
"beta_g1[1]",-0.124,0.234,-0.128,-0.578,0.344,7614,1,"vb"
"beta_g1[2]",0.081,0.318,0.081,-0.55,0.716,6569,1,"vb"
"beta_g1[3]",0.392,0.352,0.366,-0.229,1.154,5940,1.001,"vb"
"mu_t0",-7.517,5.002,-7.235,-17.99,1.341,5918,1,"vb"
"tau[3]",9.405,4.319,9.135,1.27,18.909,4288,1.001,"vb"
"beta_t0[1]",-4.973,4.848,-4.984,-14.471,4.621,10820,1,"vb"
"beta_t0[2]",-2.274,5.949,-2.277,-13.965,9.575,12584,1,"vb"
"beta_t0[3]",-0.732,5.371,-0.722,-11.354,9.894,12029,1.001,"vb"
"cor_mat[1,2]",-0.285,0.428,-0.348,-0.907,0.628,7957,1,"vb"
"cor_mat[1,3]",0.429,0.32,0.483,-0.315,0.895,7003,1.001,"vb"
"cor_mat[2,3]",0.083,0.42,0.098,-0.724,0.814,6142,1.001,"vb"
"sigma_length",1.118,0.074,1.115,0.981,1.273,19308,1,"vb"
"mu_Linf",42.427,2.346,42.243,38.321,47.576,8756,1,"gz"
"tau[1]",0.075,0.057,0.066,0.003,0.213,5627,1.001,"gz"
"beta_Linf[1]",0.036,0.066,0.037,-0.093,0.162,8071,1,"gz"
"beta_Linf[2]",-0.062,0.103,-0.063,-0.262,0.138,6998,1,"gz"
"beta_Linf[3]",-0.025,0.099,-0.021,-0.225,0.161,7788,1,"gz"
"mu_g2",0.012,0.002,0.012,0.009,0.016,9013,1,"gz"
"tau[2]",0.391,0.157,0.36,0.185,0.779,6630,1,"gz"
"beta_g2[1]",-0.132,0.176,-0.132,-0.475,0.216,8520,1,"gz"
"beta_g2[2]",0.029,0.27,0.033,-0.514,0.558,7001,1,"gz"
"beta_g2[3]",-0.119,0.248,-0.117,-0.623,0.365,7598,1,"gz"
"mu_ti",56.588,5.29,56.144,47.09,68.259,8294,1,"gz"
"tau[3]",0.118,0.085,0.103,0.007,0.327,3603,1.001,"gz"
"beta_ti[1]",0.044,0.089,0.043,-0.133,0.222,7709,1,"gz"
"beta_ti[2]",-0.062,0.139,-0.066,-0.329,0.218,6845,1.001,"gz"
"beta_ti[3]",-0.034,0.129,-0.029,-0.307,0.207,7354,1.001,"gz"
"cor_mat[1,2]",-0.052,0.376,-0.065,-0.73,0.692,6744,1,"gz"
"cor_mat[1,3]",0.099,0.413,0.117,-0.706,0.814,9317,1,"gz"
"cor_mat[2,3]",-0.078,0.379,-0.085,-0.768,0.653,13355,1,"gz"
"sigma_length",1.06,0.071,1.057,0.93,1.204,18229,1,"gz"
"mu_Linf",38.056,1.69,38.005,34.902,41.646,7615,1,"lg"
"tau[1]",0.071,0.051,0.064,0.003,0.193,5323,1.001,"lg"
"beta_Linf[1]",0.02,0.052,0.021,-0.082,0.122,6820,1,"lg"
"beta_Linf[2]",-0.056,0.079,-0.055,-0.214,0.097,6671,1,"lg"
"beta_Linf[3]",0.007,0.075,0.011,-0.154,0.145,7510,1,"lg"
"mu_g3",0.019,0.002,0.019,0.014,0.024,8999,1,"lg"
"tau[2]",0.362,0.135,0.335,0.187,0.7,7253,1,"lg"
"beta_g3[1]",-0.105,0.152,-0.105,-0.412,0.198,8789,1,"lg"
"beta_g3[2]",0.031,0.235,0.031,-0.447,0.506,7813,1,"lg"
"beta_g3[3]",-0.171,0.22,-0.171,-0.615,0.268,8000,1,"lg"
"mu_ti",76.429,5.442,75.955,66.885,88.375,6809,1.001,"lg"
"tau[3]",0.104,0.067,0.095,0.007,0.266,3568,1,"lg"
"beta_ti[1]",0.046,0.069,0.044,-0.089,0.189,6754,1,"lg"
"beta_ti[2]",-0.046,0.107,-0.048,-0.252,0.175,6322,1,"lg"
"beta_ti[3]",0.04,0.099,0.042,-0.164,0.226,6788,1,"lg"
"cor_mat[1,2]",0.124,0.373,0.144,-0.633,0.78,5888,1.001,"lg"
"cor_mat[1,3]",0.075,0.412,0.095,-0.722,0.788,7893,1,"lg"
"cor_mat[2,3]",-0.292,0.371,-0.342,-0.864,0.53,9159,1,"lg"
"sigma_length",1.036,0.07,1.034,0.906,1.182,19614,1,"lg"
