"parameter","mean","sd","median","lwr","upr","n_eff","Rhat","mod"
"mu_Linf",53.5,70.569,48.243,39.06,77.308,592,1.008,"vb"
"tau[1]",0.163,0.094,0.147,0.019,0.395,7022,1,"vb"
"beta_Linf[1]",-0.065,0.246,-0.038,-0.507,0.241,841,1.007,"vb"
"beta_Linf[2]",0.074,0.421,0.012,-0.305,0.766,666,1.009,"vb"
"beta_Linf[3]",-0.009,0.254,0,-0.407,0.384,1002,1.006,"vb"
"mu_g1",0.006,0.001,0.006,0.003,0.009,3484,1.002,"vb"
"tau[2]",0.183,0.136,0.158,0.009,0.516,6310,1,"vb"
"beta_g1[1]",0.127,0.31,0.101,-0.337,0.716,1141,1.005,"vb"
"beta_g1[2]",-0.034,0.5,0.032,-0.944,0.542,829,1.007,"vb"
"beta_g1[3]",-0.093,0.325,-0.099,-0.656,0.472,1453,1.004,"vb"
"mu_t0",-5.361,4.943,-4.993,-15.965,3.353,8374,1,"vb"
"tau[3]",9.067,4.079,8.724,1.572,18.21,6377,1,"vb"
"beta_t0[1]",4.093,5.004,3.973,-5.354,14.201,15535,1,"vb"
"beta_t0[2]",1.307,5.883,1.45,-10.844,12.404,12700,1,"vb"
"beta_t0[3]",-5.4,5.189,-5.316,-15.878,4.771,18844,1,"vb"
"cor_mat[1,2]",-0.251,0.441,-0.3,-0.911,0.653,12464,1,"vb"
"cor_mat[1,3]",0.376,0.337,0.431,-0.407,0.873,9712,1,"vb"
"cor_mat[2,3]",0.189,0.424,0.222,-0.672,0.864,7965,1,"vb"
"sigma_length",1.137,0.076,1.134,0.997,1.294,39374,1,"vb"
"mu_Linf",41.724,2.742,41.295,37.545,48.267,8340,1,"gz"
"tau[1]",0.049,0.04,0.041,0.002,0.149,14052,1,"gz"
"beta_Linf[1]",0.023,0.07,0.03,-0.131,0.145,10827,1,"gz"
"beta_Linf[2]",-0.049,0.116,-0.067,-0.228,0.22,8503,1,"gz"
"beta_Linf[3]",0.026,0.076,0.031,-0.135,0.168,10865,1,"gz"
"mu_g2",0.012,0.002,0.012,0.009,0.016,11425,1,"gz"
"tau[2]",0.362,0.128,0.338,0.19,0.684,14040,1,"gz"
"beta_g2[1]",0.03,0.197,0.026,-0.348,0.43,13388,1,"gz"
"beta_g2[2]",0.153,0.258,0.162,-0.372,0.639,10338,1.001,"gz"
"beta_g2[3]",-0.184,0.198,-0.186,-0.57,0.218,14476,1,"gz"
"mu_ti",55.629,5.368,54.834,47.211,68.527,9374,1,"gz"
"tau[3]",0.099,0.057,0.091,0.011,0.237,10749,1,"gz"
"beta_ti[1]",0.034,0.089,0.043,-0.166,0.185,11757,1,"gz"
"beta_ti[2]",-0.077,0.133,-0.099,-0.284,0.249,8734,1,"gz"
"beta_ti[3]",0.043,0.101,0.044,-0.164,0.245,12597,1,"gz"
"cor_mat[1,2]",-0.026,0.391,-0.031,-0.742,0.722,9588,1,"gz"
"cor_mat[1,3]",0.11,0.411,0.135,-0.697,0.816,15013,1,"gz"
"cor_mat[2,3]",-0.109,0.362,-0.125,-0.752,0.616,28287,1,"gz"
"sigma_length",1.065,0.071,1.062,0.933,1.211,49637,1,"gz"
"mu_Linf",37.451,1.755,37.309,34.316,41.354,15244,1,"lg"
"tau[1]",0.065,0.043,0.058,0.004,0.168,13417,1,"lg"
"beta_Linf[1]",0.053,0.055,0.057,-0.068,0.152,18780,1,"lg"
"beta_Linf[2]",-0.089,0.078,-0.097,-0.22,0.089,14215,1,"lg"
"beta_Linf[3]",0.036,0.06,0.037,-0.088,0.155,16313,1,"lg"
"mu_g3",0.02,0.003,0.02,0.015,0.025,18155,1,"lg"
"tau[2]",0.342,0.119,0.32,0.183,0.633,14586,1,"lg"
"beta_g3[1]",-0.014,0.171,-0.017,-0.345,0.338,20398,1,"lg"
"beta_g3[2]",0.201,0.211,0.206,-0.227,0.606,17011,1,"lg"
"beta_g3[3]",-0.187,0.176,-0.186,-0.535,0.166,18545,1,"lg"
"mu_ti",74.592,5.562,74.149,64.662,86.982,15249,1,"lg"
"tau[3]",0.118,0.054,0.11,0.036,0.248,10995,1.001,"lg"
"beta_ti[1]",0.058,0.079,0.063,-0.109,0.202,18792,1,"lg"
"beta_ti[2]",-0.152,0.101,-0.159,-0.336,0.073,14425,1,"lg"
"beta_ti[3]",0.094,0.088,0.092,-0.073,0.273,16081,1,"lg"
"cor_mat[1,2]",0.114,0.378,0.127,-0.629,0.781,13026,1.001,"lg"
"cor_mat[1,3]",0.217,0.389,0.261,-0.606,0.832,13002,1,"lg"
"cor_mat[2,3]",-0.394,0.333,-0.443,-0.889,0.359,20670,1,"lg"
"sigma_length",1.043,0.069,1.041,0.916,1.187,42217,1,"lg"
