"species","model","lwr","mid","upr","all"
"F. chrysotus","VB",0.145916652759411,0.97430569777956,0.592553260219381,0.977720597072801
"F. chrysotus","GZ",0.0787865531279403,0.974644840025304,0.502491744449702,0.977328243155458
"F. chrysotus","LG",0.00495590016267455,0.972276530332206,0.458113820302186,0.974628812311898
"F. chrysotus","ST",0.14579190309505,0.974648109224731,0.578527298231617,0.977931466738824
"G. holbrooki","GZ",0.145787340658509,0.959900323415947,0.448042270028435,0.965160140558
"G. holbrooki","VB",0.0993691709547138,0.959500272246827,0.467952335849555,0.964295323210629
"G. holbrooki","LG",0.160610467324079,0.958499493847622,0.399594910687042,0.963695127346493
"G. holbrooki","ST",0.133346242387927,0.960071943261899,0.461184681721316,0.96518948746319
"H. formosa","VB",0.890645336282209,0.959691422838294,0.791349537560165,0.967100890206908
"H. formosa","GZ",0.885513127656264,0.960342912522041,0.702364277514448,0.966912425141963
"H. formosa","LG",0.885355907533784,0.958755010849124,0.608931403776274,0.964935442729454
"H. formosa","ST",0.887984681942336,0.959719568724197,0.791831126494517,0.967076255599971
"L. goodei","VB",0.557786316892127,0.951993884768157,0.476260031405125,0.956728445023684
"L. goodei","GZ",0.595854262134707,0.952816621899644,0.522206508123105,0.957538974869189
"L. goodei","LG",0.563498031280878,0.952779822111353,0.511786752815427,0.957061243610209
"L. goodei","ST",0.587562596628492,0.952653342067158,0.500396285646792,0.957479193148495
"P. latipinna","LG",0.946158372221001,0.924270727221403,0.942018638082643,0.947113314412478
"P. latipinna","GZ",0.961808498756234,0.921800679372056,0.93190952271413,0.945070175132199
"P. latipinna","VB",0.798075728705138,0.91792157547614,0.883040457182799,0.940970111587342
"P. latipinna","ST",0.946151834932859,0.924274531579334,0.94235551608918,0.94708546823367
